case_id,start_time,end_time,Activity,Activity_id,case_variant,processing_time,relative_start_time,relative_end_time,waiting_time
1,2020-01-01 00:00:00,2020-01-01 00:37:00, Register Claim,48521,790337521760341813,37.0,0.0,37.0,0.0
1,2020-01-01 05:37:00,2020-01-01 05:45:00, Quick Assessment,41677,790337521760341813,8.0,337.0,345.0,300.0
1,2020-01-01 06:41:00,2020-01-01 06:55:00, Finalize Assessment,18081,790337521760341813,14.0,401.0,415.0,56.0
1,2020-01-01 23:13:00,2020-01-01 23:13:00, Approve Assessment,14038,790337521760341813,0.0,1393.0,1393.0,978.0
1,2020-01-02 01:22:00,2020-01-02 09:20:00, Prepare Claim Settlement,31020,790337521760341813,478.0,1522.0,2000.0,129.0
1,2020-01-03 11:20:00,2020-01-03 11:21:00, Approve Claim Settlement,30076,790337521760341813,1.0,3560.0,3561.0,1560.0
1,2020-01-04 00:54:00,2020-01-04 00:54:00, Execute Claim Settlement,51195,790337521760341813,0.0,4374.0,4374.0,813.0
10,2020-01-02 02:52:00,2020-01-02 03:43:00, Register Claim,48521,790337521760341813,51.0,0.0,51.0,0.0
10,2020-01-02 10:25:00,2020-01-02 10:32:00, Quick Assessment,41677,790337521760341813,7.0,453.0,460.0,402.0
10,2020-01-02 15:32:00,2020-01-02 15:59:00, Finalize Assessment,18081,790337521760341813,27.0,760.0,787.0,300.0
10,2020-01-03 22:05:00,2020-01-03 22:05:00, Approve Assessment,14038,790337521760341813,0.0,2593.0,2593.0,1806.0
10,2020-01-03 23:53:00,2020-01-04 04:31:00, Prepare Claim Settlement,31020,790337521760341813,278.0,2701.0,2979.0,108.0
10,2020-01-07 08:54:00,2020-01-07 08:55:00, Approve Claim Settlement,30076,790337521760341813,1.0,7562.0,7563.0,4583.0
10,2020-01-10 00:23:00,2020-01-10 00:23:00, Execute Claim Settlement,51195,790337521760341813,0.0,11371.0,11371.0,3808.0
1004,2020-05-26 19:39:00,2020-05-26 19:56:00, Register Claim,48521,1026770997902703327,17.0,0.0,17.0,0.0
1004,2020-05-27 13:35:00,2020-05-27 13:44:00, Analyze Claim,16061,1026770997902703327,9.0,1076.0000000000002,1085.0000000000002,1059.0000000000002
1004,2020-05-27 13:50:00,2020-05-27 13:51:00, Assess Claim,55607,1026770997902703327,1.0,1091.0000000000002,1092.0000000000002,6.0
1004,2020-05-31 22:43:00,2020-05-31 23:18:00, Finalize Assessment,18081,1026770997902703327,35.0,7384.0,7419.0,6292.0
1008,2020-05-28 07:27:00,2020-05-28 07:50:00, Register Claim,48521,6360821293776510000,23.0,0.0,23.0,0.0
1008,2020-05-28 14:05:00,2020-05-28 14:14:00, Quick Assessment,41677,6360821293776510000,9.0,398.0,407.0,375.0
1008,2020-06-09 22:49:00,2020-06-09 23:20:00, Finalize Assessment,18081,6360821293776510000,31.0,18202.0,18233.0,17795.0
1015,2020-05-28 19:50:00,2020-05-28 20:05:00, Register Claim,48521,6262482030788783190,15.0,0.0,15.0,0.0
1015,2020-05-29 19:34:00,2020-05-29 19:38:00, Analyze Claim,16061,6262482030788783190,4.0,1424.0,1428.0,1409.0
102,2020-01-13 13:17:00,2020-01-13 13:26:00, Register Claim,48521,790337521760341813,9.0,0.0,9.0,0.0
102,2020-01-13 14:13:00,2020-01-13 14:20:00, Quick Assessment,41677,790337521760341813,7.0,56.0,63.0,47.0
102,2020-01-16 19:32:00,2020-01-16 19:48:00, Finalize Assessment,18081,790337521760341813,16.0,4695.0,4711.0,4632.0
102,2020-01-18 07:58:00,2020-01-18 07:58:00, Approve Assessment,14038,790337521760341813,0.0,6881.0,6881.0,2170.0
102,2020-01-18 09:57:00,2020-01-18 21:36:00, Prepare Claim Settlement,31020,790337521760341813,699.0,7000.0,7699.0,119.0
102,2020-01-20 11:38:00,2020-01-20 11:39:00, Approve Claim Settlement,30076,790337521760341813,1.0,9981.0,9982.0,2282.0
102,2020-01-22 07:39:00,2020-01-22 07:39:00, Execute Claim Settlement,51195,790337521760341813,0.0,12622.0,12622.0,2640.0
1021,2020-05-29 01:06:00,2020-05-29 01:34:00, Register Claim,48521,6360821293776510000,28.0,0.0,28.0,0.0
1021,2020-05-29 01:42:00,2020-05-29 01:51:00, Quick Assessment,41677,6360821293776510000,9.0,36.0,45.0,8.0
1021,2020-06-01 03:37:00,2020-06-01 04:02:00, Finalize Assessment,18081,6360821293776510000,25.0,4471.0,4496.0,4426.0
